x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,224.,0.0306396484,,,224.,-0.1664658189,224.,0.1291258931,,,,,,,,
,,,,,,,,,,,,,,225.,0.0306396484,,,225.,-0.1666650772,225.,0.0185782909,,,,,,,,
,,,,,,,,,,,,,,226.,0.0303955078,,,226.,-0.1668788791,226.,-0.116848588,,,,,,,,
,,,,,,,,,,,,,,227.,0.0302734375,,,227.,-0.1668701172,227.,-0.0995693803,,,,,,,,
,,,,,,,,,,,,,,228.,0.0303955078,,,228.,-0.1665641665,228.,0.0593460798,,,,,,,,
,,,,,,,,,,,,,,229.,0.0306396484,,,229.,-0.1665652394,229.,0.0809825659,,,,,,,,
,,,,,,,,,,,,,,230.,0.0305175781,,,230.,-0.1668318510,230.,-0.0768293738,,,,,,,,
,,,,,,,,,,,,,,231.,0.0302734375,,,231.,-0.1668807864,231.,-0.1238242388,,,,,,,,
,,,,,,,,,,,,,,232.,0.0303955078,,,232.,-0.1666640639,232.,-0.0060286522,,,,,,,,
,,,,,,,,,,,,,,233.,0.0305175781,,,233.,-0.1664592624,233.,0.1252195835,,,,,,,,
,,,,,,,,,,,,,,234.,0.0306396484,,,234.,-0.1665589213,234.,0.0763946176,,,,,,,,
,,,,,,,,,,,,,,235.,0.0303955078,,,235.,-0.1668897867,235.,-0.1282746196,,,,,,,,
,,,,,,,,,,,,,,236.,0.0303955078,,,236.,-0.1667414904,236.,-0.0603718162,,,,,,,,
